Indicator Name,Indicator Code,Country Name,Country Code,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
GDP (current US$),NY.GDP.MKTP.CD,Afghanistan,AFG,5285461998.97866,6275076015.72254,7057597615.29559,9843851008.65578,10190534636.4958,12486950468.7364,15936784436.1811,18033526068.5236,,
GDP (current US$),NY.GDP.MKTP.CD,Albania,ALB,7464446950.02559,8376483740.48289,9132562332.43024,10704661570.5584,12968652890.9091,12118580597.0542,11858166294.8409,12959563902.4015,13119013351.4499,
GDP (current US$),NY.GDP.MKTP.CD,Algeria,DZA,85013944727.955,102339100115.447,117169320524.244,135803556324.92,170989269622.037,138119949894.696,161777790125.783,198538802309.637,207955103846.43,
GDP (current US$),NY.GDP.MKTP.CD,American Samoa,ASM,,,,,,,,,,
GDP (current US$),NY.GDP.MKTP.CD,Andorra,ADO,2322163502.26295,2539759285.92747,2823503852.62328,3245411583.7197,3712034266.50674,,,,,
GDP (current US$),NY.GDP.MKTP.CD,Angola,AGO,19775227834.6854,28233699240.3249,41789494461.5461,60448890972.4218,84178086998.6708,75492417649.3276,82470894868.3337,104115863405.183,114197143594.422,
GDP (current US$),NY.GDP.MKTP.CD,Antigua and Barbuda,ATG,905113766.533633,1001970945.08233,1135143589.58227,1289254323.89761,1347349843.7037,1206410363.7037,1135539048.14815,1124586886.2963,1176348887.77778,
GDP (current US$),NY.GDP.MKTP.CD,Argentina,ARG,153129509710.176,183193418481.532,214066154250.003,260768678129.18,326582805854.357,307155125025.139,368736093173.675,446044110969.761,470532788509.758,
GDP (current US$),NY.GDP.MKTP.CD,Armenia,ARM,3576615240.41616,4900436758.50466,6384457744.44765,9206277478.95229,11662017844.8868,8648015304.9989,9260285762.09704,10138077996.4192,9910387657.35811,
GDP (current US$),NY.GDP.MKTP.CD,Aruba,ABW,2228279329.60894,2331005586.59218,2421474860.3352,2623726256.98324,2791960893.85475,2498932960.89385,2467703910.61453,2584463687.15084,,
GDP (current US$),NY.GDP.MKTP.CD,Australia,AUS,611491677336.748,692353781386.258,744959568733.154,850516605166.052,1052255352166.79,923499434130.921,1138262493185.27,1384145284186.9,1520608083022.1,
GDP (current US$),NY.GDP.MKTP.CD,Austria,AUT,291430382497.377,304983601949.958,324954402044.306,375041784029.848,414171069689.091,383626706101.192,376837981578.947,417656162500,399649131196.966,
GDP (current US$),NY.GDP.MKTP.CD,Azerbaijan,AZE,8680511918.49357,13245421880.834,20982270733.2484,33049380917.6985,48852482960.0779,44291490420.5026,52905998878.7143,65952763948.839,68726938989.6472,
GDP (current US$),NY.GDP.MKTP.CD,"Bahamas, The",BHS,7094413000,7706222000,7965588000,8318996000,8246650000,7820420000,7888087000,7872584000,8149004000,
GDP (current US$),NY.GDP.MKTP.CD,Bahrain,BHR,11235671061.4371,13460198289.6975,15854942950.6104,18473097688.7683,21902892583.9637,19318822540.6653,25713571420.9726,29044457919.7651,,
GDP (current US$),NY.GDP.MKTP.CD,Bangladesh,BGD,56560744012.2303,60277560975.6098,61901116736.1525,68415421372.7194,79554350677.7438,89359767441.8605,100357022443.833,111905655335.348,115609650524.711,
GDP (current US$),NY.GDP.MKTP.CD,Barbados,BRB,3509700000,3891500000,4314050000,4513250000,4541550000,4592650000,4433700000,4368900000,4224850000,
GDP (current US$),NY.GDP.MKTP.CD,Belarus,BLR,23141587717.7633,30210091836.8294,36961918858.7385,45275711995.825,60763483146.0674,49271267252.1957,55220932613.958,64271575245.4325,63267029436.6748,
GDP (current US$),NY.GDP.MKTP.CD,Belgium,BEL,361683211959.795,377350395463.364,399965627160.063,459618853659.405,507379060314.205,473351828106.962,468511842105.263,513862500000,483709179737.722,
GDP (current US$),NY.GDP.MKTP.CD,Belize,BLZ,1056303706.29218,1114874607.77669,1213104430.03398,1276751655.94474,1363500000,1349000000,1398500000,1447500000,,
GDP (current US$),NY.GDP.MKTP.CD,Benin,BEN,4050869967.79893,4358015992.89839,4705087452.19196,5506275948.35799,6633561835.2379,6585134688.09549,6558416322.12,7294900430.89438,7557286829.00186,
