Indicator Name,Indicator Code,Country Name,Country Code,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
"International tourism, number of arrivals",ST.INT.ARVL,Afghanistan,AFG,,,,,,,,,,
"International tourism, number of arrivals",ST.INT.ARVL,Albania,ALB,645000,748000,937000,1127000,1420000,1856000,2417000,2932000,,
"International tourism, number of arrivals",ST.INT.ARVL,Algeria,DZA,1234000,1443000,1638000,1743000,1772000,1912000,2070000,2395000,,
"International tourism, number of arrivals",ST.INT.ARVL,American Samoa,ASM,,24000,25000,,,,,,,
"International tourism, number of arrivals",ST.INT.ARVL,Andorra,ADO,2791000,2418000,2227000,2189000,2059000,1830000,1808000,1948000,,
"International tourism, number of arrivals",ST.INT.ARVL,Angola,AGO,194000,210000,121000,195000,294000,366000,425000,481000,,
"International tourism, number of arrivals",ST.INT.ARVL,Antigua and Barbuda,ATG,246000,245000,254000,262000,266000,234000,230000,241000,,
"International tourism, number of arrivals",ST.INT.ARVL,Argentina,ARG,3457000,3823000,4173000,4562000,4700000,4308000,5325000,5705000,,
"International tourism, number of arrivals",ST.INT.ARVL,Armenia,ARM,263000,319000,382000,511000,558000,575000,684000,758000,,
"International tourism, number of arrivals",ST.INT.ARVL,Aruba,ABW,728000,733000,694000,772000,827000,813000,824000,870000,,
"International tourism, number of arrivals",ST.INT.ARVL,Australia,AUS,5215000,5499000,5532000,5644000,5586000,5584000,5885000,5875000,,
"International tourism, number of arrivals",ST.INT.ARVL,Austria,AUT,19374000,19952000,20269000,20773000,21935000,21355000,22004000,23012000,,
"International tourism, number of arrivals",ST.INT.ARVL,Azerbaijan,AZE,989000,693000,682000,732000,1043000,1005000,1280000,1562000,,
"International tourism, number of arrivals",ST.INT.ARVL,"Bahamas, The",BHS,1561000,1608000,1601000,1528000,1463000,1327000,1370000,1346000,,
"International tourism, number of arrivals",ST.INT.ARVL,Bahrain,BHR,5667000,6313000,7289000,7833000,8631000,8861000,11952000,6732000,,
"International tourism, number of arrivals",ST.INT.ARVL,Bangladesh,BGD,271000,208000,200000,289000,467000,267000,303000,,,
"International tourism, number of arrivals",ST.INT.ARVL,Barbados,BRB,552000,548000,563000,575000,568000,519000,532000,568000,,
"International tourism, number of arrivals",ST.INT.ARVL,Belarus,BLR,68000,91000,90000,105000,92000,95000,120000,116000,,
"International tourism, number of arrivals",ST.INT.ARVL,Belgium,BEL,6710000,6747000,6995000,7045000,7165000,6815000,7186000,7494000,,
"International tourism, number of arrivals",ST.INT.ARVL,Belize,BLZ,231000,237000,247000,251000,245000,232000,242000,250000,,
"International tourism, number of arrivals",ST.INT.ARVL,Benin,BEN,174000,176000,180000,186000,188000,190000,199000,209000,,
